x,y,z,yaw,velocity,change_flag
28.6256,-37.4335,-2.4615,1.5992,5,0
28.5972,-36.4339,-2.4664,1.5992,5,0
28.5688,-35.4343,-2.4713,1.5992,5,0
28.5404,-34.4347,-2.4761,1.5992,5,0
28.512,-33.4351,-2.481,1.5992,5,0
28.4837,-32.4356,-2.4859,1.5992,5,0
28.456,-31.4596,-2.4907,1.5897,5,0
28.437,-30.4598,-2.4985,1.5897,5,0
28.4181,-29.46,-2.5063,1.5897,5,0
28.3992,-28.4602,-2.5141,1.5897,5,0
28.3802,-27.4604,-2.522,1.5897,5,0
28.3613,-26.4606,-2.5298,1.5897,5,0
28.3424,-25.4609,-2.5376,1.5897,5,0
28.324,-24.49,-2.5452,1.5672,5,0
28.3276,-23.49,-2.5392,1.5672,5,0
28.3312,-22.49,-2.5333,1.5672,5,0
28.3348,-21.4901,-2.5273,1.5672,5,0
28.3384,-20.5109,-2.5215,1.6037,5,0
28.3055,-19.5116,-2.5311,1.591,5,0
28.2858,-18.5373,-2.5402,1.5935,5,0
28.2631,-17.5375,-2.5363,1.5935,5,0
28.2403,-16.5378,-2.5323,1.5935,5,0
28.2176,-15.5381,-2.5283,1.5935,5,0
28.217,-15.5112,-2.5282,1.5834,5,0
28.2043,-14.5113,-2.5346,1.5834,5,0
28.1917,-13.5114,-2.5409,1.5834,5,0
28.1791,-12.5115,-2.5472,1.5834,5,0
28.179,-12.5008,-2.5473,1.5687,5,0
28.181,-11.5008,-2.5454,1.5687,5,0
28.1831,-10.5008,-2.5436,1.5687,5,0
28.1851,-9.5008,-2.5417,1.5687,5,0
28.1872,-8.5008,-2.5399,1.5687,5,0
28.1892,-7.5371,-2.5381,1.5921,5,0
28.1678,-6.5374,-2.5342,1.5921,5,0
28.1465,-5.5376,-2.5303,1.5921,5,0
28.1251,-4.5378,-2.5264,1.5921,5,0
28.1038,-3.5381,-2.5225,1.5921,5,0
28.0824,-2.5383,-2.5186,1.5921,5,0
28.0824,-2.5364,-2.5185,1.5763,5,0
28.0769,-1.5364,-2.5197,1.5763,5,0
28.0717,-0.5714,-2.5209,1.6332,5,0
28.0093,0.4266,-2.5329,1.6332,5,0
28.0077,0.4524,-2.5333,1.6046,5,0
27.9739,1.4519,-2.5267,1.6046,5,0
27.9417,2.406,-2.5205,1.5871,5,0
27.9254,3.4058,-2.5109,1.5871,5,0
27.9247,3.4452,-2.5106,1.6192,5,0
27.8764,4.444,-2.5221,1.6192,2,0
27.8347,5.3052,-2.5321,1.6976,2,0
27.7082,6.2971,-2.5337,1.6976,2,0
27.609,7.0756,-2.535,1.6548,2,0
27.5251,8.072,-2.5365,1.6548,2,0
27.4586,8.8624,-2.5376,1.7245,2,0
27.3291,9.6978,-2.5445,2.0416,2,0
26.9213,10.4991,-2.5612,2.0737,2,0
26.4953,11.2735,-2.5716,2.0416,2,0
26.0875,12.0748,-2.5684,2.0592,2,0
25.6617,12.8761,-2.5767,2.0282,2,0
25.2806,13.6503,-2.5952,2.288,2,0
24.6746,14.3451,-2.6001,2.3351,2,0
24.0862,14.959,-2.6033,2.3089,2,0
23.4622,15.6449,-2.6117,2.2766,2,0
22.9009,16.3035,-2.6189,2.3135,2,0
22.3126,16.9444,-2.627,2.5664,2,0
21.5439,17.4427,-2.658,2.7512,2,0
20.7024,17.789,-2.6561,2.7416,2,0
19.7815,18.1783,-2.671,2.7416,2,0
18.8605,18.5677,-2.6859,2.7416,2,0
18.2678,18.8182,-2.6955,2.829,2,0
17.3901,19.1019,-2.7183,3.115,2,0
16.5107,19.1253,-2.7414,3.0305,2,0
15.6587,19.2203,-2.7395,3.0579,2,0
14.7349,19.2978,-2.8317,3.0548,2,0
13.8469,19.3751,-2.8164,3.0641,2,0
12.9678,19.4434,-2.8333,-2.9484,2,0
12.1232,19.2782,-2.8432,-2.9725,2,0
11.2607,19.1309,-2.8473,-2.9408,2,0
10.3622,18.9481,-2.8583,-3.0337,2,0
9.5,18.8547,-2.8673,-2.8956,2,0
8.6282,18.6358,-2.8623,-2.9697,2,0
7.7298,18.4798,-2.8916,-2.6092,2,0
6.9912,18.0446,-2.878,-2.546,2,0
6.2431,17.5377,-2.9076,-2.6161,2,0
5.4776,17.0938,-2.9237,-2.5404,2,0
4.7385,16.5868,-2.928,-2.5788,2,0
3.9637,16.098,-2.9431,-2.2995,2,0
3.3582,15.4197,-2.9473,-2.2058,2,0
2.8514,14.7319,-2.9472,-2.238,2,0
2.2815,14.0085,-2.9689,-2.2613,2,0
1.7209,13.3299,-2.9747,-2.1066,2,0
1.2855,12.5967,-2.984,-1.93,2,0
0.9662,11.7461,-2.9752,-1.8824,2,0
0.6596,10.7943,-2.981,-1.8824,2,0
0.4354,10.0981,-2.9852,-1.8831,2,0
0.1281,9.1466,-2.9952,-1.8831,2,0
-0.1228,8.3696,-3.0034,-1.9117,2,0
-0.4151,7.5457,-2.9946,-1.6166,2,0
-0.4566,6.6396,-2.9891,-1.5592,2,0
-0.445,5.6396,-2.9893,-1.5592,2,0
-0.4335,4.6397,-2.9894,-1.5592,2,0
-0.4219,3.6398,-2.9895,-1.5592,2,0
-0.4157,3.1034,-2.9896,-1.5426,2,0
-0.3876,2.1038,-2.9898,-1.5426,5,0
-0.3594,1.1042,-2.9901,-1.5426,5,0
-0.3348,0.2311,-2.9903,-1.5332,5,0
-0.2972,-0.7681,-2.9766,-1.5332,5,0
-0.2963,-0.7922,-2.9762,-1.5332,5,0
